id;first_name;last_name;contact_no;date_of_birth;gender;email;password;username;guardian_name;address;guardian_contact;guardian_email
1;Antonia;Sipes;worship biodegradable;2024-05-10;gah;Eveline87@gmail.com;aha next;with minus mid;usually gadzooks;luxury dishonor;place;intent zowie
2;Kane;Thompson;nifty;2024-05-10;spherical miserably only;Monroe_Rippin17@gmail.com;gah quest;vaporise while;embassy woot ha;crazy submissive even;modulo between past;accidentally shearling
3;Naomi;Swift;privilege quaintly organic;2024-05-10;out;Lindsey_Conn@yahoo.com;but;down function;soon multicolored;without up boastfully;eek;about
4;Werner;Cartwright;fooey hmph;2024-05-10;amid tomatillo midst;Marianne53@yahoo.com;hark;furthermore;candy qua;down ew for;psst outgoing;aw not spacing
5;Hildegard;Reichert;kindheartedly;2024-05-10;out;Eugene.Harris84@hotmail.com;duh earnings;peppery blah;juvenile poor though;beside garland;snarling brr;indeed after
6;Leonel;Reinger;philosophise;2024-05-10;uselessly how willfully;Cordia.Hammes3@yahoo.com;like quest;oval thunder;fertilizer symptom out;qua;oval;manufacturing
7;Logan;Lindgren;fatally reshape;2024-05-10;psst briefly furthermore;Maxwell.Turcotte@hotmail.com;where spellcheck;notwithstanding elegantly precious;sniveling er;athwart once whether;aha nice;mmm
8;Royal;Kreiger;compute accede;2024-05-10;rewire;Bernie39@gmail.com;woot uh-huh so;unaccountably;finally;psst knowledgeably next;cruelly seriously ha;deadline teethe psst
9;Horacio;Kihn;rifle afore;2024-05-10;artificer;Bessie49@hotmail.com;crinoline;photoshop ferociously;ack gratefully;menopause;jumbo unless;yuck consulting
10;Geo;White;till;2024-05-10;rugby;Terry.Roob@yahoo.com;er furthermore;buoyant eek;typeset between patronise;roughhouse;midst hmph;provided than or
