id;name;email;fee_per_hour
1;once;Ian.Rowe61@yahoo.com;12656.27
2;rudely sovereignty;Berniece.Stamm@yahoo.com;30177.98
3;equally recover especially;Molly.Ward39@yahoo.com;28786.7
4;towards;Kaycee.Rogahn21@gmail.com;14489.16
5;whoa;Kay.Connelly@gmail.com;20790.52
6;times insure;Drake_Reilly@yahoo.com;10789.66
7;indeed;Fredrick94@gmail.com;6614.68
8;busily supposing calculating;Birdie.Wolff-Bernier@hotmail.com;18534.55
9;since testy round;Joseph47@yahoo.com;24355.25
10;indeed selfishly shyly;Afton44@hotmail.com;10171.39
